event-id,visible,timestamp,location-long,location-lat,manually-marked-outlier,sensor-type,individual-taxon-canonical-name,tag-local-identifier,individual-local-identifier,study-name
16309914,true,2002-06-05 03:24:00.000,8.61676751510182,47.561920891279,,"radio-transmitter","Vespertilio murinus","#1918746","021","Parti-colored bat Safi Switzerland"
16309915,true,2002-06-05 03:26:00.000,8.62385457210809,47.5601174017614,,"radio-transmitter","Vespertilio murinus","#1918746","021","Parti-colored bat Safi Switzerland"
16309916,true,2002-06-05 03:34:00.000,8.63335807151339,47.5323349746066,,"radio-transmitter","Vespertilio murinus","#1918746","021","Parti-colored bat Safi Switzerland"
16309917,true,2002-06-05 03:37:00.000,8.60220734315587,47.5629261568104,,"radio-transmitter","Vespertilio murinus","#1918746","021","Parti-colored bat Safi Switzerland"
16309918,true,2002-06-05 03:44:00.000,8.62789753086425,47.5476478020993,,"radio-transmitter","Vespertilio murinus","#1918746","021","Parti-colored bat Safi Switzerland"
16309919,true,2002-06-05 03:47:00.000,8.6339648491036,47.5394088470163,,"radio-transmitter","Vespertilio murinus","#1918746","021","Parti-colored bat Safi Switzerland"
16309920,true,2002-06-05 03:54:00.000,8.60937517909583,47.560870777565,,"radio-transmitter","Vespertilio murinus","#1918746","021","Parti-colored bat Safi Switzerland"
16309921,true,2002-06-05 04:04:00.000,8.62580699990622,47.5551048342902,,"radio-transmitter","Vespertilio murinus","#1918746","021","Parti-colored bat Safi Switzerland"
16309922,true,2002-06-05 04:06:00.000,8.63712582729918,47.53695737661,,"radio-transmitter","Vespertilio murinus","#1918746","021","Parti-colored bat Safi Switzerland"
16309923,true,2002-06-05 04:14:00.000,8.6266101956285,47.5500438254751,,"radio-transmitter","Vespertilio murinus","#1918746","021","Parti-colored bat Safi Switzerland"
16309924,true,2002-06-05 04:24:00.000,8.62535260967776,47.546086484355,,"radio-transmitter","Vespertilio murinus","#1918746","021","Parti-colored bat Safi Switzerland"
16309925,true,2002-06-05 04:27:00.000,8.6293960667741,47.5448633987659,,"radio-transmitter","Vespertilio murinus","#1918746","021","Parti-colored bat Safi Switzerland"
16309926,true,2002-06-05 04:33:00.000,8.61412314657119,47.5564229739058,,"radio-transmitter","Vespertilio murinus","#1918746","021","Parti-colored bat Safi Switzerland"
16309927,true,2002-06-05 04:36:00.000,8.6293960667741,47.5448633987659,,"radio-transmitter","Vespertilio murinus","#1918746","021","Parti-colored bat Safi Switzerland"
16309928,true,2002-06-05 04:41:00.000,8.63457632158267,47.5411188619719,,"radio-transmitter","Vespertilio murinus","#1918746","021","Parti-colored bat Safi Switzerland"
16309929,true,2002-06-05 22:21:00.000,8.58668020366638,47.5818921512856,,"radio-transmitter","Vespertilio murinus","#1918746","021","Parti-colored bat Safi Switzerland"
16309930,true,2002-06-05 22:27:00.000,8.59096353448528,47.5779202623887,,"radio-transmitter","Vespertilio murinus","#1918746","021","Parti-colored bat Safi Switzerland"
16309931,true,2002-06-05 22:31:00.000,8.58922377513253,47.5776665888051,,"radio-transmitter","Vespertilio murinus","#1918746","021","Parti-colored bat Safi Switzerland"
16309932,true,2002-06-05 22:37:00.000,8.58955826084167,47.5845777954742,,"radio-transmitter","Vespertilio murinus","#1918746","021","Parti-colored bat Safi Switzerland"
16309933,true,2002-06-05 22:42:00.000,8.57655851613696,47.5854767387248,,"radio-transmitter","Vespertilio murinus","#1918746","021","Parti-colored bat Safi Switzerland"
16309934,true,2002-06-05 22:47:00.000,8.59443301896866,47.5699525063815,,"radio-transmitter","Vespertilio murinus","#1918746","021","Parti-colored bat Safi Switzerland"
16309935,true,2002-06-05 22:50:00.000,8.60774028695763,47.580868706301,,"radio-transmitter","Vespertilio murinus","#1918746","021","Parti-colored bat Safi Switzerland"
16309936,true,2002-06-05 22:56:00.000,8.61111285810587,47.5639580150357,,"radio-transmitter","Vespertilio murinus","#1918746","021","Parti-colored bat Safi Switzerland"
16309937,true,2002-06-05 23:01:00.000,8.63485953712234,47.5529828321256,,"radio-transmitter","Vespertilio murinus","#1918746","021","Parti-colored bat Safi Switzerland"
16309966,true,2002-06-05 23:07:00.000,8.64962168505947,47.527426055413,,"radio-transmitter","Vespertilio murinus","#1918746","021","Parti-colored bat Safi Switzerland"
16309965,true,2002-06-05 23:11:00.000,8.65121092213139,47.5593190712927,,"radio-transmitter","Vespertilio murinus","#1918746","021","Parti-colored bat Safi Switzerland"
16309964,true,2002-06-06 00:18:00.000,8.64136177553026,47.560083064494,,"radio-transmitter","Vespertilio murinus","#1918746","021","Parti-colored bat Safi Switzerland"
16309963,true,2002-06-06 00:31:00.000,8.65414288015143,47.5185890049485,,"radio-transmitter","Vespertilio murinus","#1918746","021","Parti-colored bat Safi Switzerland"
16309962,true,2002-06-06 22:41:00.000,8.53572750701846,47.5709093348913,,"radio-transmitter","Vespertilio murinus","#1918746","021","Parti-colored bat Safi Switzerland"
16309961,true,2002-06-06 22:46:00.000,8.6125509363525,47.5762948062642,,"radio-transmitter","Vespertilio murinus","#1918746","021","Parti-colored bat Safi Switzerland"
16309960,true,2002-06-06 22:51:00.000,8.62298907980785,47.5682201186734,,"radio-transmitter","Vespertilio murinus","#1918746","021","Parti-colored bat Safi Switzerland"
16309959,true,2002-06-06 22:56:00.000,8.62309093743313,47.5624359581345,,"radio-transmitter","Vespertilio murinus","#1918746","021","Parti-colored bat Safi Switzerland"
